itemName,price,image,quantity
StellaRoot Treat Your Mama with Respect,73.9,https://rlv.zcache.com/stellaroot_treat_your_mama_with_respect_skateboard_deck-r010fe2dbd00345b0b692cd8a553753ba_xw0kb_8byvr_307.jpg,100
StellaRoot Anchor Down Cream Board,73.9,https://rlv.zcache.com/stellaroot_anchor_down_gradient_grunge_distressed_skateboard-r68b586f2a71a4f1fa8aa1d897d56adec_xw0kb_8byvr_307.jpg,100
Alice in an English Garden,75.95,https://rlv.zcache.com/stellaroot_tree_with_bleeding_roots_pattern_skateboard-r4cc6b8230b6f43caaa26fb1d90d1724b_xw0ba_8byvr_307.jpg,100
Element X Diamond Supply Co Nyjah Huston ,54.95,https://scene7.zumiez.com/is/image/zumiez/pdp_hero/Element-X-Diamond-Supply-Co-Nyjah-Huston-8.0%22--Skateboard-Deck-_223548-front-US.jpg,100
Element Woodcut ,51.95,https://scene7.zumiez.com/is/image/zumiez/314217-back-US?$cat_max$,100
Element Nyjah White Lion,54.95,https://s7d9.scene7.com/is/image/zumiez/cat_max/Element-Nyjah-White-Lion-8.0%22-Skateboard-Deck-_303893.jpg,100
Element Section Tie Dye,49.95,https://scene7.zumiez.com/is/image/zumiez/296145-back-US?$cat_max$,100
THRASHER KISS ,75.95,http://jhumkhawalaprajesh.me/wp-content/uploads/2019/02/thrasher-skate-decks-skateboard-deck-pool-covers-loop-loc.jpg,100
THRASHER Walker,54.95,http://jhumkhawalaprajesh.me/wp-content/uploads/2019/02/thrasher-skate-decks-real-x-walker-deck-pool-supplies-walmart.jpg,100
Sausage Burton Gold Tiger Deck,79.95,https://scene7.zumiez.com/is/image/zumiez/pdp_hero/Sausage-Burton-Gold-Tiger-8.0%22--Skateboard-Deck-_251595-front.jpg,100
Diamond Aholha OG,84.95,https://cdn.shopify.com/s/files/1/1426/2042/products/ALOHA_PRODUCT_SHOTS_0004_dmnd-aloha_skateboard_2000x.jpg?v=1528748523,100
Michael Jackson X Diamond Supply Deck,105.95,https://image-cdn.hypb.st/https%3A%2F%2Fhypebeast.com%2Fimage%2F2018%2F12%2Fdiamond-supply-michael-jackson-skateboard-king-of-pop-20th-anniversary-0.jpg?q=75&w=800&cbr=1&fit=max,100
Diamond Supply X Marilyn Monroe Deck,105.95,https://cdn.shopify.com/s/files/1/0006/5611/3721/products/57_3bb75fdd-0c5b-40ea-af3d-01b3c32896ff.jpg?v=1527164996,100
